iteration,exploitability
1,0.33333333333333337
1000,0.0065048932057056585
2000,0.004501908009656885
3000,0.00428785992392873
4000,0.003036317761950111
5000,0.002332421257941031
6000,0.0025666578323232103
7000,0.001858258844388394
8000,0.00235385786341033
9000,0.0027717375825728474
10000,0.0014858991314374431
11000,0.0024142211964336413
12000,0.001285103056536313
13000,0.002008177775175521
14000,0.001942863229788802
15000,0.0014745119591618172
16000,0.001214460266736092
17000,0.0016157572252631924
18000,0.0019965320391624602
19000,0.001778425797472477
20000,0.0016078547525373577
21000,0.0014616758853557288
22000,0.0014387992548553358
23000,0.001406490718663625
24000,0.0013770203152241867
25000,0.001348407670676871
26000,0.0013653661137107143
27000,0.0014120894634516434
28000,0.0015139381429771503
29000,0.001557835334188462
30000,0.0013311189855869238
31000,0.001066216385648966
32000,0.0008264338956669309
33000,0.0009395205361470427
34000,0.001154260341898583
35000,0.001341943321075914
36000,0.0012437189759774286
37000,0.0008834371750350012
38000,0.0007359664142944505
39000,0.0010750780096419887
40000,0.0013222986871241488
41000,0.0009560492027546053
42000,0.0006370367534275084
43000,0.001021535611384669
44000,0.0012647950839126954
45000,0.000834529295192607
46000,0.0008568210873291238
47000,0.0010756755923503059
48000,0.0009626356859938207
49000,0.000595059810131221
50000,0.0010077590602731307
51000,0.0010383878571041533
52000,0.0005954983511239492
53000,0.0009637869734867854
54000,0.001009699017258836
55000,0.0005385831134795682
56000,0.0009709317455026678
57000,0.000835817036957287
58000,0.0006745791856655331
59000,0.001037274884671091
60000,0.0007175736253114545
61000,0.0008616270564684309
62000,0.00104028882992252
63000,0.0005264680361009993
64000,0.0009129111621316577
65000,0.0007421811000300482
66000,0.000828015003251345
67000,0.0009914569930091072
68000,0.0005008686022485026
69000,0.0009381834153508462
70000,0.0005688342663117962
71000,0.0007992318501793549
72000,0.0007361274176876514
73000,0.0007646684971332751
74000,0.0009587009481843711
75000,0.0005021132854284016
76000,0.0009342460800384061
77000,0.0005362538538802863
78000,0.0008265790470023265
79000,0.0006039121978029804
80000,0.0007662245089910119
81000,0.0006764561871067248
82000,0.0007429508603150475
83000,0.0007443511526922381
84000,0.0007331576705286863
85000,0.0008072487762353919
86000,0.0006670126878996901
87000,0.000857631299355649
88000,0.000570339610467055
89000,0.000876872880803306
90000,0.0005028239323393857
91000,0.0008681747740325041
92000,0.0004718292735405166
93000,0.0008536223178762237
94000,0.0004676457794017125
95000,0.0008516331088771617
96000,0.0005016801852178732
97000,0.0008350257477692941
98000,0.0005596425546511019
99000,0.000795952025410579
100000,0.0006326551300078198
