archetype,repeat,hands,correct,confidence,posterior_true
nit,0,5,False,0.13523087129866074,0.23475894137189843
nit,0,10,False,0.13864027058569817,0.23674648967800277
nit,0,25,True,0.2368405253001542,0.3959502735245225
nit,0,50,True,0.6183211320928289,0.7692322354335012
nit,0,100,True,0.991949400972544,0.9982497887820466
nit,0,200,True,0.9998542071821372,0.9999788148361842
nit,0,400,True,0.9999999992279355,0.9999999999439966
nit,0,800,True,1.0,1.0
nit,1,5,False,0.15673406606618467,0.05095294621448179
nit,1,10,False,0.14859080006359504,0.09059478106605062
nit,1,25,True,0.2903095274775346,0.4361878024708915
nit,1,50,False,0.4694314878389787,0.22972701308574495
nit,1,100,True,0.9228107153502577,0.9731115083670568
nit,1,200,True,0.9981387908008001,0.9996284928099484
nit,1,400,True,0.9999999973584413,0.9999999997970255
nit,1,800,True,1.0,1.0
nit,2,5,False,0.0313823276359686,0.13811670987856176
nit,2,10,True,0.11037714668471232,0.273864228417045
nit,2,25,False,0.21005704907612843,0.32227572535503235
nit,2,50,False,0.22722207653275162,0.24291700018919435
nit,2,100,False,0.6405591091847411,0.278137190197782
nit,2,200,True,0.9999744081452719,0.9999968373507168
nit,2,400,True,0.9999999999941335,0.9999999999996505
nit,2,800,True,1.0,1.0
nit,3,5,False,0.4767614008206251,0.13780669820622177
nit,3,10,False,0.30195930115906444,0.2883813615698095
nit,3,25,True,0.6579207367451096,0.8422551998234157
nit,3,50,True,0.9060093817823489,0.9690698455970961
nit,3,100,True,0.9847262677370588,0.9957716341701836
nit,3,200,True,0.9997170670904312,0.9999538449554756
nit,3,400,True,0.9999999997000191,0.9999999999789928
nit,3,800,True,1.0,1.0
nit,4,5,True,0.2070787953562847,0.4561321139125896
nit,4,10,False,0.20834790014236004,0.27269870541676394
nit,4,25,False,0.4687456894798748,0.14305498935600736
nit,4,50,True,0.4226128148317617,0.46414208770106935
nit,4,100,True,0.8823123805192263,0.9537742001270875
nit,4,200,True,0.9999436794147505,0.9999920862716244
nit,4,400,True,0.9999999998768775,0.9999999999916898
nit,4,800,True,0.9999999999999998,1.0
nit,5,5,True,0.14737529541580685,0.392307823547143
nit,5,10,True,0.4439010573703901,0.6270055310815793
nit,5,25,False,0.47450708199639335,0.2133944319873529
nit,5,50,False,0.5326047922540318,0.4595342700428183
nit,5,100,True,0.9148653155378704,0.9657452372449021
nit,5,200,True,0.9983225855289238,0.9996662492865155
nit,5,400,True,0.9999999999539559,0.999999999997004
nit,5,800,True,1.0,1.0
nit,6,5,True,0.04816830229052471,0.2629731514705077
nit,6,10,True,0.11765257357772096,0.3398619118412471
nit,6,25,True,0.3821850632084387,0.635553764773448
nit,6,50,True,0.9071580706915585,0.9669699871425652
nit,6,100,True,0.9715847671726883,0.9926645979540355
nit,6,200,True,0.9999695344492006,0.9999959858732828
nit,6,400,True,0.9999999981653402,0.9999999998613258
nit,6,800,True,0.9999999999999997,1.0
nit,7,5,False,0.2062927752651028,0.30313356179006906
nit,7,10,True,0.18011552215183202,0.39718948707838003
nit,7,25,True,0.5587216553764376,0.658371704207172
nit,7,50,True,0.8236770255320384,0.9328439779772831
nit,7,100,True,0.8854928300823999,0.9477853829797527
nit,7,200,True,0.9995078366921221,0.9999149953645576
nit,7,400,True,0.9999999998420461,0.9999999999892353
nit,7,800,True,1.0,1.0
nit,8,5,True,0.06617162276180577,0.27478397106474356
nit,8,10,False,0.12982216470170094,0.26761620242164624
nit,8,25,True,0.32961510882737177,0.5698070429554773
nit,8,50,False,0.5506726936053978,0.28008303433710113
nit,8,100,True,0.608533774313014,0.5451713005850728
nit,8,200,True,0.9994636788177418,0.9999111160987061
nit,8,400,True,0.999999999993731,0.999999999999621
nit,8,800,True,1.0,1.0
nit,9,5,True,0.1421721363087327,0.33420946578088917
nit,9,10,True,0.27016196588385855,0.4005651000928038
nit,9,25,True,0.3107670438546877,0.37363942226297464
nit,9,50,False,0.5789657756487674,0.3915612014060911
nit,9,100,True,0.9381935554977772,0.9775108748867981
nit,9,200,True,0.9999956945830293,0.9999995203541436
nit,9,400,True,0.999999999996853,0.9999999999998166
nit,9,800,True,1.0,1.0
nit,10,5,True,0.08892980305359866,0.26789670828602236
nit,10,10,False,0.46513996871921137,0.20953342920167764
nit,10,25,False,0.1851982364224355,0.29593705796862535
nit,10,50,False,0.3795522338232661,0.3620139926453459
nit,10,100,True,0.8386076425006084,0.9241616538756818
nit,10,200,True,0.9998774195173423,0.9999819811252867
nit,10,400,True,0.9999999999004343,0.9999999999933267
nit,10,800,True,1.0,1.0
nit,11,5,False,0.22768388720662225,0.3609356202757157
nit,11,10,False,0.3145411264086546,0.3196172186988691
nit,11,25,True,0.35489981904826307,0.4878493601528172
nit,11,50,True,0.6862336158899054,0.8155311291977673
nit,11,100,True,0.9160731856881842,0.9665409686806227
nit,11,200,True,0.9996588974210834,0.999943507180098
nit,11,400,True,0.9999999997009772,0.9999999999790736
nit,11,800,True,1.0,1.0
nit,12,5,True,0.04703513028243078,0.2569338693912546
nit,12,10,True,0.2654231185990751,0.5108490725399397
nit,12,25,True,0.6735093741549524,0.8480185689659756
nit,12,50,True,0.5517534929466253,0.6596769166083909
nit,12,100,True,0.9047761938543287,0.9685098970579983
nit,12,200,True,0.9999781877008529,0.9999973239547705
nit,12,400,True,0.9999999999731867,0.999999999998334
nit,12,800,True,1.0,1.0
nit,13,5,False,0.21226914286456477,0.3502258351988867
nit,13,10,True,0.24851460781216428,0.3867867086409614
nit,13,25,True,0.47769912290735483,0.5968691798256015
nit,13,50,True,0.8309329177219864,0.933984496914107
nit,13,100,True,0.9843661567166162,0.9958427184525346
nit,13,200,True,0.9999851476651928,0.99999814745498
nit,13,400,True,0.9999999999432644,0.9999999999962788
nit,13,800,True,1.0,1.0
nit,14,5,False,0.23953224251231875,0.32640030188650937
nit,14,10,False,0.34850603630823496,0.33895650327833415
nit,14,25,False,0.6938772529041115,0.18656835037008868
nit,14,50,False,0.8048246790603574,0.10524649837765632
nit,14,100,False,0.6448167560882967,0.3060554412844787
nit,14,200,True,0.9221116702596411,0.9686087948317901
nit,14,400,True,0.9999999997539372,0.9999999999829399
nit,14,800,True,1.0,1.0
nit,15,5,True,0.16810155308026276,0.2876212639462064
nit,15,10,True,0.37668415900022667,0.4729721035524599
nit,15,25,False,0.42698492473886585,0.3320634573317146
nit,15,50,False,0.4613952170661184,0.17392185338914862
nit,15,100,True,0.7406455011340131,0.82451800736967
nit,15,200,True,0.9992234083589518,0.999859002378377
nit,15,400,True,0.9999999997880106,0.999999999985405
nit,15,800,True,1.0,1.0
nit,16,5,True,0.16960004569430143,0.40438404810448886
nit,16,10,True,0.20060211661463967,0.4040466772672072
nit,16,25,True,0.6110419729474694,0.6369636741176747
nit,16,50,True,0.8049406790769262,0.8905873320524417
nit,16,100,True,0.9092514628677968,0.9616731897349655
nit,16,200,True,0.9999946978285679,0.9999993788963714
nit,16,400,True,0.9999999999933274,0.9999999999995952
nit,16,800,True,1.0,1.0
nit,17,5,False,0.21745373249440592,0.2587095582062077
nit,17,10,True,0.1561356177213521,0.3806343300733806
nit,17,25,True,0.66211508557726,0.8422276398309743
nit,17,50,True,0.8152027519403128,0.9072019340998438
nit,17,100,True,0.9984385194659692,0.9997100288618972
nit,17,200,True,0.9975844347945424,0.9994963453088046
nit,17,400,True,0.9999999999755095,0.9999999999984435
nit,17,800,True,1.0,1.0
nit,18,5,True,0.09634726073295208,0.2761711890050311
nit,18,10,True,0.15458112402906954,0.3940776432405723
nit,18,25,True,0.42445728607388533,0.6638324531007622
nit,18,50,True,0.8915609427032575,0.9580469271857094
nit,18,100,True,0.9916129279574399,0.9979037240973325
nit,18,200,True,0.9999949287581646,0.9999994078950583
nit,18,400,True,0.9999999999981694,0.9999999999998939
nit,18,800,True,1.0,1.0
nit,19,5,False,0.20241346781152403,0.04775194770293592
nit,19,10,False,0.27722397510234353,0.058934660520154065
nit,19,25,True,0.3774790391343297,0.5280476434763086
nit,19,50,True,0.8619276238684115,0.9447212273964742
nit,19,100,True,0.9899998456917068,0.997574232159446
nit,19,200,True,0.9999969764579941,0.9999996605244867
nit,19,400,True,0.9999999999547846,0.9999999999970597
nit,19,800,True,1.0,1.0
nit,20,5,True,0.1548687900358141,0.3615210062488759
nit,20,10,True,0.14632214694890933,0.3793771937021673
nit,20,25,True,0.6771310588370376,0.8198510070217346
nit,20,50,True,0.7745203744903877,0.868173298504725
nit,20,100,True,0.9923918006681535,0.9981566335627263
nit,20,200,True,0.9023224517715969,0.9577556990583436
nit,20,400,True,0.9999999949259174,0.9999999995983495
nit,20,800,True,1.0,1.0
nit,21,5,False,0.09492089512524982,0.14131150589676522
nit,21,10,True,0.20259679145300058,0.42877517040225704
nit,21,25,True,0.39426488787512215,0.6201231506996912
nit,21,50,True,0.9240785465724699,0.972979562414283
nit,21,100,True,0.9972181173024414,0.9994110278799319
nit,21,200,True,0.999993950040203,0.9999992845782097
nit,21,400,True,0.9999999999934368,0.9999999999996023
nit,21,800,True,1.0,1.0
nit,22,5,True,0.1360079832143415,0.386441027155229
nit,22,10,True,0.29451730768093387,0.5394283168385651
nit,22,25,True,0.5750156723659152,0.6186797346489152
nit,22,50,True,0.9302504504068942,0.9767536259388655
nit,22,100,True,0.8821728662739576,0.9522012502343782
nit,22,200,True,0.9287437317540095,0.972199921592037
nit,22,400,True,0.9999999699735252,0.9999999974107747
nit,22,800,True,1.0,1.0
nit,23,5,False,0.21171408930867475,0.32422924317677665
nit,23,10,True,0.2550329987155582,0.4579903590933179
nit,23,25,True,0.3280595564338771,0.4736613057948488
nit,23,50,True,0.7160773516545129,0.859266036568497
nit,23,100,True,0.9846129292077765,0.9957921730449534
nit,23,200,True,0.9999917763398285,0.9999990072595121
nit,23,400,True,0.9999999999833943,0.9999999999989593
nit,23,800,True,1.0,1.0
nit,24,5,True,0.11795623082142237,0.3199428104512242
nit,24,10,False,0.49240925702667804,0.18408087158929076
nit,24,25,True,0.44710885563819713,0.4582709228432104
nit,24,50,False,0.5797959978516971,0.29020485501852755
nit,24,100,True,0.9895890163483481,0.9973468494443963
nit,24,200,True,0.999984071548326,0.9999979910605381
nit,24,400,True,0.999999999662116,0.9999999999762241
nit,24,800,True,1.0,1.0
nit,25,5,False,0.15023069984871817,0.03391300836849902
nit,25,10,False,0.09918646231239658,0.0643953791780232
nit,25,25,False,0.1750298015129914,0.2632400189514028
nit,25,50,False,0.7542276872219753,0.06488303613287409
nit,25,100,True,0.7949414898153446,0.9048359323677356
nit,25,200,True,0.9603543012619221,0.9884049899809381
nit,25,400,True,0.9999997167326425,0.9999999724722038
nit,25,800,True,1.0,1.0
nit,26,5,True,0.16493231241093131,0.3554901163968863
nit,26,10,True,0.5085816435842352,0.730002909554106
nit,26,25,True,0.7441522187604693,0.8538310317119384
nit,26,50,True,0.9687544712537017,0.990405857220894
nit,26,100,True,0.9976811163171742,0.9995317303798583
nit,26,200,True,0.9999998756121934,0.9999999887280052
nit,26,400,True,0.9999999999997262,0.9999999999999851
nit,26,800,True,1.0,1.0
nit,27,5,False,0.18360471420480695,0.1946711471496277
nit,27,10,False,0.24269722265413662,0.16122330971006565
nit,27,25,False,0.2604985656283204,0.17942484080901386
nit,27,50,False,0.526964565030166,0.4213590941297123
