solver,budget_seconds,elapsed_seconds,iterations,exploitability,expected_value,infosets
CFR+,0.05,0.0785808339715004,2,2.057916666666667,-0.19206436906499394,288
CFR+,0.1,0.11142920795828104,3,1.7935440823803706,0.12299601986859648,288
CFR+,0.25,0.2558366249431856,7,1.0111540725260257,-0.5373540190097917,288
CFR+,0.5,0.5037965431110933,14,0.35761476177442864,-0.21406061884060748,288
CFR+,1.0,1.013254416116979,28,0.09603788534783908,-0.10030284604859771,288
CFR+,2.0,2.0311338729807176,54,0.029619706360920133,-0.08619779024581814,288
CFR+,5.0,5.036700752272736,133,0.00947848648123878,-0.08494859233121234,288
CFR+,10.0,10.025332982302643,267,0.0031671824000625223,-0.08546027475030679,288
CFR+,20.0,20.02654504327802,500,0.0009256514361019874,-0.08556200833094876,288
CFR,0.05,0.06535945797804743,3,0.9719700385708959,-0.06068531708907053,288
CFR,0.1,0.10942154203075916,5,0.6056967331578215,-0.15424474908213648,288
CFR,0.25,0.2643740411149338,12,0.27875999218274905,-0.1350027173909126,288
CFR,0.5,0.5053921239450574,23,0.18187087204345243,-0.10678663532594644,288
CFR,1.0,1.0111860008328222,46,0.10549043192555921,-0.09696397851188372,288
CFR,2.0,2.0221155490726233,89,0.06931142372145267,-0.08767647847045495,288
CFR,5.0,5.014468167209998,225,0.034152285528562414,-0.08829272349209465,288
CFR,10.0,10.014162671286613,451,0.02483329668440331,-0.08815607250322155,288
CFR,20.0,20.00086204172112,859,0.017590682775137652,-0.08806894028179274,288
MCCFR,0.05,0.07907204201910645,400,1.3197311205056232,-0.2710224657604477,286
MCCFR,0.1,0.11724925006274134,600,1.0118844525317618,-0.2272072037767531,286
MCCFR,0.25,0.2738998759887181,1400,0.6373989118102545,-0.19008297529224163,287
MCCFR,0.5,0.5139647491159849,2600,0.38993568899818776,-0.1508617176360495,288
MCCFR,1.0,1.0401065851328894,5400,0.22608743852734664,-0.10185629871284439,288
MCCFR,2.0,2.010134002775885,10000,0.15717112360203644,-0.09792881162709931,288
MCCFR,5.0,5.0171957514830865,25400,0.08204509635295368,-0.0915026045736151,288
MCCFR,10.0,10.005969830788672,50600,0.05933798295198238,-0.0910864462818152,288
MCCFR,20.0,20.005651898914948,99400,0.0452820507582965,-0.09155370280361104,288
