hand,regime,true_archetype,map_estimate,correct,confidence,posterior_true,lambda_applied,window_chips_per_100,repeat
1400,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,190.0,0
1420,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,100.0,0
1440,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-10.0,0
1460,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-100.0,0
1480,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-60.0,0
1500,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-70.0,0
1520,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,70.0,0
1540,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-10.0,0
1560,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-70.0,0
1580,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,175.0,0
1600,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-80.0,0
1620,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,60.0,0
1640,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,80.0,0
1660,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-100.0,0
1680,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,110.0,0
1700,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-135.0,0
1720,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,115.0,0
1740,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-180.0,0
1760,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-105.0,0
1780,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-135.0,0
1800,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-80.0,0
1820,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,35.0,0
1840,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,80.0,0
1860,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,20.0,0
1880,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-115.0,0
1900,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,25.0,0
1920,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,105.0,0
