archetype,epsilon,chips_per_100,ci_low,ci_high,exploitability,mean_lambda
maniac,0.0,16.400000000000002,-3.5024999999999897,36.80124999999998,0.0022684298488883786,0.0
maniac,0.02,1.95,-18.351249999999993,21.65,0.019881800713726853,0.0134344048040013
maniac,0.05,11.15,-9.65,31.1,0.049955174982262304,0.0318884300204213
maniac,0.1,-5.35,-26.1,15.10124999999998,0.0998364876087942,0.05882718665984823
maniac,0.3,22.35,0.49875000000000547,44.80124999999998,0.2992000055213139,0.1600199809784995
maniac,1.0,9.049999999999999,-13.350000000000001,30.9,0.5957739098995714,0.30934676066606365
